CAMIS,Timestamp,Temperature_F,Humidity_percent,Air_Quality_Index,Surface_Score,Risk_Flag
50172220,2025-08-06 00:58:32,71.8,44.9,70.0,71.5,warning
50172220,2025-08-12 21:36:52,73.0,30.4,54.5,77.5,warning
50172220,2025-08-01 17:52:15,80.9,45.3,72.7,69.3,high
50172220,2025-08-05 22:05:26,69.4,45.5,81.4,77.5,warning
50172220,2025-08-08 04:30:31,63.9,53.3,52.2,73.9,warning
50172220,2025-08-06 07:06:45,74.8,50.9,55.8,70.2,warning
50172220,2025-08-09 04:45:07,60.6,54.9,64.7,61.3,high
50172220,2025-08-04 05:50:56,60.4,41.5,52.3,69.0,high
50172220,2025-08-12 13:10:59,79.3,50.8,54.9,69.5,high
50172220,2025-08-07 12:53:27,67.4,43.7,52.9,71.1,warning
41578677,2025-08-10 22:06:21,74.9,32.3,45.0,73.0,warning
41578677,2025-08-03 21:02:31,76.7,24.6,58.5,84.3,normal
41578677,2025-08-13 07:48:53,69.5,38.1,42.9,81.1,normal
41578677,2025-08-07 19:18:12,76.4,42.4,65.7,96.1,normal
41578677,2025-08-10 19:24:15,74.6,54.2,35.5,73.6,warning
41578677,2025-08-08 10:38:23,74.2,37.4,44.6,68.0,high
41578677,2025-08-04 02:08:06,68.1,41.2,63.6,70.4,warning
41578677,2025-08-07 15:01:38,66.7,27.1,45.5,87.9,normal
41578677,2025-08-10 19:59:26,66.2,45.9,51.0,82.9,normal
41578677,2025-08-02 15:31:41,76.2,49.3,49.1,87.8,normal
50054023,2025-08-02 21:38:40,70.9,43.9,24.7,79.9,warning
50054023,2025-08-13 21:52:27,76.1,35.2,19.8,99.1,normal
50054023,2025-08-02 19:38:05,67.4,60.0,22.3,66.0,high
50054023,2025-08-03 15:07:23,72.3,36.9,43.6,85.6,normal
50054023,2025-08-02 22:04:50,65.8,35.9,41.7,96.3,normal
50054023,2025-08-08 09:33:58,66.3,41.6,48.3,95.9,normal
50054023,2025-08-04 03:27:24,76.9,48.8,58.0,70.5,warning
50054023,2025-08-01 05:12:17,68.0,54.2,72.2,92.6,normal
